nom,date,cumulative_confirmed_cases
Fataki,2026-06-30,1
Mandima,2026-06-30,2
Lolwa,2026-06-30,1
Butembo,2026-06-30,34
Katwa,2026-06-30,47
Beni,2026-06-30,24
Oicha,2026-06-30,3
Kalunguta,2026-06-30,2
Kyondo,2026-06-30,3
Goma,2026-06-30,1
Masereka,2026-06-30,1
Vuhovi,2026-06-30,1
Mabalako,2026-06-30,1
Musienene,2026-06-30,3
Miti-Murhesa,2026-06-30,3
NA,2026-06-30,17
Bunia,2026-07-01,416
Rwampara,2026-07-01,308
Mongbwalu,2026-07-01,270
Nyankunde,2026-07-01,95
Nizi,2026-07-01,65
Lita,2026-07-01,32
Komanda,2026-07-01,19
Bambu,2026-07-01,16
Kilo,2026-07-01,9
Mangala,2026-07-01,24
Tchomia,2026-07-01,14
Damas,2026-07-01,5
Aungba,2026-07-01,6
Rimba,2026-07-01,3
Aru,2026-07-01,3
Mambasa,2026-07-01,2
Logo,2026-07-01,7
Drodro,2026-07-01,3
Gety,2026-07-01,1
Kambala,2026-07-01,2
Nia-Nia,2026-07-01,12
Fataki,2026-07-01,1
Mandima,2026-07-01,2
Lolwa,2026-07-01,1
Butembo,2026-07-01,34
Katwa,2026-07-01,49
Beni,2026-07-01,26
Oicha,2026-07-01,3
Kalunguta,2026-07-01,2
Kyondo,2026-07-01,3
Goma,2026-07-01,1
Masereka,2026-07-01,1
Vuhovi,2026-07-01,1
Mabalako,2026-07-01,1
Musienene,2026-07-01,3
Miti-Murhesa,2026-07-01,3
NA,2026-07-01,17
Bunia,2026-07-02,426
Rwampara,2026-07-02,322
Mongbwalu,2026-07-02,273
Nyankunde,2026-07-02,95
Nizi,2026-07-02,65
Lita,2026-07-02,33
Komanda,2026-07-02,19
Bambu,2026-07-02,18
Kilo,2026-07-02,9
Mangala,2026-07-02,24
Tchomia,2026-07-02,15
Damas,2026-07-02,5
Aungba,2026-07-02,6
Rimba,2026-07-02,3
Aru,2026-07-02,3
Mambasa,2026-07-02,2
Logo,2026-07-02,7
Drodro,2026-07-02,3
Gety,2026-07-02,1
Kambala,2026-07-02,2
Nia-Nia,2026-07-02,12
Fataki,2026-07-02,1
Mandima,2026-07-02,4
Lolwa,2026-07-02,1
Butembo,2026-07-02,38
Katwa,2026-07-02,51
Beni,2026-07-02,28
Oicha,2026-07-02,3
Kalunguta,2026-07-02,2
Kyondo,2026-07-02,3
Goma,2026-07-02,2
Masereka,2026-07-02,1
Vuhovi,2026-07-02,1
Mabalako,2026-07-02,1
Musienene,2026-07-02,3
Miti-Murhesa,2026-07-02,3
NA,2026-07-02,17
Bunia,2026-07-03,431
Rwampara,2026-07-03,333
Mongbwalu,2026-07-03,276
Nyankunde,2026-07-03,95
Nizi,2026-07-03,65
Lita,2026-07-03,33
Komanda,2026-07-03,19
Bambu,2026-07-03,18
Kilo,2026-07-03,9
Mangala,2026-07-03,26
Tchomia,2026-07-03,15
Damas,2026-07-03,5
Aungba,2026-07-03,6
Rimba,2026-07-03,3
Aru,2026-07-03,3
Mambasa,2026-07-03,2
Logo,2026-07-03,7
Drodro,2026-07-03,3
Gety,2026-07-03,1
Kambala,2026-07-03,2
Nia-Nia,2026-07-03,12
Fataki,2026-07-03,1
Mandima,2026-07-03,4
Lolwa,2026-07-03,1
Butembo,2026-07-03,40
Katwa,2026-07-03,51
Beni,2026-07-03,29
Oicha,2026-07-03,3
Kalunguta,2026-07-03,2
Kyondo,2026-07-03,4
Goma,2026-07-03,1
Masereka,2026-07-03,2
Vuhovi,2026-07-03,1
Mabalako,2026-07-03,1
Musienene,2026-07-03,4
Miti-Murhesa,2026-07-03,3
NA,2026-07-03,17
